Path,Spoken
/Users/paul.jones,user
/Users/paul.jones,profile
/Users/paul.jones/Desktop,desktop
/Users/paul.jones/Desktop,desk
/Users/paul.jones/Documents,documents
/Users/paul.jones/Documents,docks
/Users/paul.jones/Downloads,downloads
/Users/paul.jones/Music,music
/Users/paul.jones/Pictures,pictures
/Users/paul.jones/Pictures,screenshots
/Users/paul.jones/Videos,videos
/Users/paul.jones/.talon,talon home
/Users/paul.jones/.talon/user,talon user
/Users/paul.jones/.talon/recordings,talon recordings
/Users/paul.jones/Library/Mobile Documents/com~apple~CloudDocs/Documents/Dendron-Main/vault/, vault
/Users/paul.jones/Code/ComparablesPOC,comparables